data_id,Date of Death,New Deaths,Cumulative Deaths
1,2020-03-17,1,1
2,2020-03-18,0,1
3,2020-03-19,0,1
4,2020-03-20,0,1
5,2020-03-21,0,1
6,2020-03-22,0,1
7,2020-03-23,0,1
8,2020-03-24,1,2
9,2020-03-25,0,2
10,2020-03-26,3,5
11,2020-03-27,2,7
12,2020-03-28,0,7
13,2020-03-29,0,7
14,2020-03-30,1,8
15,2020-03-31,1,9
16,2020-04-01,3,12
17,2020-04-02,0,12
18,2020-04-03,0,12
19,2020-04-04,0,12
20,2020-04-05,1,13
21,2020-04-06,1,14
22,2020-04-07,1,15
23,2020-04-08,1,16
24,2020-04-09,0,16
25,2020-04-10,2,18
26,2020-04-11,1,19
27,2020-04-12,0,19
28,2020-04-13,1,20
29,2020-04-14,3,23
30,2020-04-15,1,24
31,2020-04-16,1,25
32,2020-04-17,0,25
33,2020-04-18,1,26
34,2020-04-19,1,27
35,2020-04-20,0,27
36,2020-04-21,0,27
37,2020-04-22,1,28
38,2020-04-23,1,29
39,2020-04-24,0,29
40,2020-04-25,1,30
41,2020-04-26,0,30
42,2020-04-27,0,30
43,2020-04-28,1,31
44,2020-04-29,3,34
45,2020-04-30,1,35
46,2020-05-01,1,36
47,2020-05-02,0,36
48,2020-05-03,0,36
49,2020-05-04,0,36
50,2020-05-05,0,36
51,2020-05-06,0,36
52,2020-05-07,0,36
53,2020-05-08,3,39
54,2020-05-09,2,41
55,2020-05-10,0,41
56,2020-05-11,0,41
57,2020-05-12,1,42
58,2020-05-13,0,42
59,2020-05-14,0,42
60,2020-05-15,1,43
61,2020-05-16,0,43
62,2020-05-17,2,45
63,2020-05-18,0,45
64,2020-05-19,0,45
65,2020-05-20,0,45
66,2020-05-21,0,45
67,2020-05-22,0,45
68,2020-05-23,0,45
69,2020-05-24,0,45
70,2020-05-25,0,45
71,2020-05-26,1,46
72,2020-05-27,0,46
73,2020-05-28,0,46
74,2020-05-29,1,47
75,2020-05-30,0,47
76,2020-05-31,1,48
77,2020-06-01,0,48
78,2020-06-02,0,48
79,2020-06-03,0,48
80,2020-06-04,0,48
81,2020-06-05,1,49
82,2020-06-06,0,49
83,2020-06-07,0,49
84,2020-06-08,0,49
85,2020-06-09,0,49
86,2020-06-10,0,49
87,2020-06-11,0,49
88,2020-06-12,1,50
89,2020-06-13,1,51
90,2020-06-14,0,51
91,2020-06-15,0,51
92,2020-06-16,0,51
93,2020-06-17,0,51
94,2020-06-18,1,52
95,2020-06-19,0,52
96,2020-06-20,0,52
97,2020-06-21,0,52
98,2020-06-22,0,52
99,2020-06-23,0,52
100,2020-06-24,0,52
101,2020-06-25,0,52
102,2020-06-26,0,52
103,2020-06-27,0,52
104,2020-06-28,0,52
105,2020-06-29,0,52
106,2020-06-30,0,52
107,2020-07-01,0,52
108,2020-07-02,0,52
109,2020-07-03,0,52
110,2020-07-04,0,52
111,2020-07-05,1,53
112,2020-07-06,1,54
113,2020-07-07,0,54
114,2020-07-08,0,54
115,2020-07-09,0,54
116,2020-07-10,0,54
117,2020-07-11,0,54
118,2020-07-12,1,55
119,2020-07-13,1,56
120,2020-07-14,1,57
121,2020-07-15,1,58
122,2020-07-16,1,59
123,2020-07-17,1,60
124,2020-07-18,1,61
125,2020-07-19,0,61
126,2020-07-20,0,61
127,2020-07-21,1,62
128,2020-07-22,1,63
129,2020-07-23,1,64
130,2020-07-24,0,64
131,2020-07-25,0,64
132,2020-07-26,1,65
133,2020-07-27,1,66
134,2020-07-28,3,69
135,2020-07-29,1,70
136,2020-07-30,0,70
137,2020-07-31,0,70
138,2020-08-01,3,73
139,2020-08-02,0,73
140,2020-08-03,1,74
141,2020-08-04,0,74
142,2020-08-05,1,75
143,2020-08-06,0,75
144,2020-08-07,2,77
145,2020-08-08,0,77
146,2020-08-09,1,78
147,2020-08-10,2,80
148,2020-08-11,0,80
149,2020-08-12,1,81
150,2020-08-13,1,82
151,2020-08-14,1,83
152,2020-08-15,2,85
153,2020-08-16,0,85
154,2020-08-17,0,85
155,2020-08-18,1,86
156,2020-08-19,0,86
157,2020-08-20,2,88
158,2020-08-21,1,89
159,2020-08-22,0,89
160,2020-08-23,0,89
161,2020-08-24,0,89
162,2020-08-25,0,89
163,2020-08-26,1,90
164,2020-08-27,1,91
165,2020-08-28,0,91
166,2020-08-29,1,92
167,2020-08-30,0,92
168,2020-08-31,2,94
169,2020-09-01,1,95
170,2020-09-02,0,95
171,2020-09-03,2,97
172,2020-09-04,0,97
173,2020-09-05,3,100
174,2020-09-06,1,101
175,2020-09-07,1,102
176,2020-09-08,1,103
177,2020-09-09,2,105
178,2020-09-10,4,109
179,2020-09-11,1,110
180,2020-09-12,1,111
181,2020-09-13,0,111
182,2020-09-14,0,111
183,2020-09-15,0,111
184,2020-09-16,1,112
185,2020-09-17,2,114
186,2020-09-18,2,116
187,2020-09-19,0,116
188,2020-09-20,1,117
189,2020-09-21,0,117
190,2020-09-22,3,120
191,2020-09-23,1,121
192,2020-09-24,2,123
193,2020-09-25,2,125
194,2020-09-26,0,125
195,2020-09-27,0,125
196,2020-09-28,3,128
197,2020-09-29,1,129
198,2020-09-30,0,129
199,2020-10-01,5,134
200,2020-10-02,2,136
201,2020-10-03,0,136
202,2020-10-04,5,141
203,2020-10-05,2,143
204,2020-10-06,0,143
205,2020-10-07,0,143
206,2020-10-08,3,146
207,2020-10-09,4,150
208,2020-10-10,3,153
209,2020-10-11,1,154
210,2020-10-12,0,154
211,2020-10-13,0,154
212,2020-10-14,1,155
213,2020-10-15,0,155
214,2020-10-16,0,155
215,2020-10-17,0,155
216,2020-10-18,1,156
217,2020-10-19,2,158
218,2020-10-20,0,158
219,2020-10-21,0,158
220,2020-10-22,0,158
221,2020-10-23,0,158
222,2020-10-24,2,160
223,2020-10-25,0,160
224,2020-10-26,0,160
225,2020-10-27,0,160
226,2020-10-28,0,160
227,2020-10-29,0,160
228,2020-10-30,0,160
229,2020-10-31,0,160
230,2020-11-01,1,161
231,2020-11-02,0,161
232,2020-11-03,0,161
233,2020-11-04,0,161
234,2020-11-05,0,161
235,2020-11-06,0,161
236,2020-11-07,0,161
237,2020-11-08,0,161
238,2020-11-09,2,163
239,2020-11-10,0,163
240,2020-11-11,0,163
241,2020-11-12,1,164
242,2020-11-13,0,164
243,2020-11-14,1,165
244,2020-11-15,1,166
245,2020-11-16,0,166
246,2020-11-17,1,167
247,2020-11-18,1,168
248,2020-11-19,0,168
249,2020-11-20,0,168
250,2020-11-21,0,168
251,2020-11-22,0,168
252,2020-11-23,1,169
253,2020-11-24,1,170
254,2020-11-25,0,170
255,2020-11-26,0,170
256,2020-11-27,0,170
257,2020-11-28,1,171
258,2020-11-29,1,172
259,2020-11-30,1,173
260,2020-12-01,1,174
261,2020-12-02,0,174
262,2020-12-03,1,175
263,2020-12-04,1,176
264,2020-12-05,1,177
265,2020-12-06,0,177
266,2020-12-07,1,178
267,2020-12-08,0,178
268,2020-12-09,2,180
269,2020-12-10,1,181
270,2020-12-11,4,185
271,2020-12-12,1,186
272,2020-12-13,2,188
273,2020-12-14,1,189
274,2020-12-15,3,192
275,2020-12-16,3,195
276,2020-12-17,4,199
277,2020-12-18,3,202
278,2020-12-19,2,204
279,2020-12-20,2,206
280,2020-12-21,1,207
281,2020-12-22,5,212
282,2020-12-23,3,215
283,2020-12-24,8,223
284,2020-12-25,7,230
285,2020-12-26,3,233
286,2020-12-27,4,237
287,2020-12-28,5,242
288,2020-12-29,6,248
289,2020-12-30,6,254
290,2020-12-31,7,261
291,2021-01-01,4,265
292,2021-01-02,9,274
293,2021-01-03,4,278
294,2021-01-04,3,281
295,2021-01-05,2,283
296,2021-01-06,6,289
297,2021-01-07,8,297
298,2021-01-08,7,304
299,2021-01-09,4,308
300,2021-01-10,5,313
301,2021-01-11,6,319
302,2021-01-12,7,326
303,2021-01-13,8,334
304,2021-01-14,9,343
305,2021-01-15,5,348
306,2021-01-16,10,358
307,2021-01-17,2,360
308,2021-01-18,2,362
309,2021-01-19,6,368
310,2021-01-20,5,373
311,2021-01-21,8,381
312,2021-01-22,9,390
313,2021-01-23,3,393
314,2021-01-24,3,396
315,2021-01-25,3,399
316,2021-01-26,2,401
317,2021-01-27,2,403
318,2021-01-28,7,410
319,2021-01-29,5,415
320,2021-01-30,2,417
321,2021-01-31,9,426
322,2021-02-01,3,429
323,2021-02-02,4,433
324,2021-02-03,3,436
325,2021-02-04,8,444
326,2021-02-05,8,452
327,2021-02-06,5,457
328,2021-02-07,2,459
329,2021-02-08,4,463
330,2021-02-09,6,469
331,2021-02-10,9,478
332,2021-02-11,1,479
333,2021-02-12,7,486
334,2021-02-13,4,490
335,2021-02-14,1,491
336,2021-02-15,6,497
337,2021-02-16,5,502
338,2021-02-17,0,502
339,2021-02-18,5,507
340,2021-02-19,1,508
341,2021-02-20,2,510
342,2021-02-21,0,510
343,2021-02-22,5,515
344,2021-02-23,3,518
345,2021-02-24,3,521
346,2021-02-25,0,521
347,2021-02-26,1,522
348,2021-02-27,1,523
349,2021-02-28,1,524
350,2021-03-01,0,524
351,2021-03-02,0,524
352,2021-03-03,2,526
353,2021-03-04,2,528
354,2021-03-05,0,528
355,2021-03-06,2,530
356,2021-03-07,0,530
357,2021-03-08,0,530
358,2021-03-09,1,531
359,2021-03-10,1,532
360,2021-03-11,1,533
361,2021-03-12,0,533
362,2021-03-13,0,533
363,2021-03-14,1,534
364,2021-03-15,0,534
365,2021-03-16,0,534
366,2021-03-17,0,534
367,2021-03-18,1,535
368,2021-03-19,0,535
369,2021-03-20,1,536
370,2021-03-21,2,538
371,2021-03-22,1,539
372,2021-03-23,0,539
373,2021-03-24,3,542
374,2021-03-25,1,543
375,2021-03-26,1,544
376,2021-03-27,3,547
377,2021-03-28,0,547
378,2021-03-29,0,547
379,2021-03-30,0,547
380,2021-03-31,0,547
381,2021-04-01,0,547
382,2021-04-02,1,548
383,2021-04-03,0,548
384,2021-04-04,0,548
385,2021-04-05,0,548
386,2021-04-06,0,548
387,2021-04-07,0,548
388,2021-04-08,0,548
389,2021-04-09,1,549
390,2021-04-10,1,550
391,2021-04-11,0,550
392,2021-04-12,0,550
393,2021-04-13,0,550
394,2021-04-14,0,550
395,2021-04-15,1,551
396,2021-04-16,0,551
397,2021-04-17,0,551
398,2021-04-18,0,551
399,2021-04-19,1,552
400,2021-04-20,0,552
401,2021-04-21,0,552
402,2021-04-22,0,552
403,2021-04-23,1,553
404,2021-04-24,0,553
405,2021-04-25,1,554
406,2021-04-26,1,555
407,2021-04-27,2,557
408,2021-04-28,0,557
409,2021-04-29,1,558
410,2021-04-30,0,558
411,2021-05-01,0,558
412,2021-05-02,0,558
413,2021-05-03,0,558
414,2021-05-04,0,558
415,2021-05-05,0,558
416,2021-05-06,2,560
417,2021-05-07,1,561
418,2021-05-08,0,561
419,2021-05-09,0,561
420,2021-05-10,0,561
421,2021-05-11,0,561
422,2021-05-12,1,562
423,2021-05-13,0,562
424,2021-05-14,0,562
425,2021-05-15,0,562
426,2021-05-16,0,562
427,2021-05-17,0,562
428,2021-05-18,0,562
429,2021-05-19,0,562
430,2021-05-20,0,562
431,2021-05-21,0,562
432,2021-05-22,0,562
433,2021-05-23,1,563
434,2021-05-24,0,563
435,2021-05-25,0,563
436,2021-05-26,0,563
437,2021-05-27,0,563
438,2021-05-28,0,563
439,2021-05-29,0,563
440,2021-05-30,0,563
441,2021-05-31,0,563
442,2021-06-01,0,563
443,2021-06-02,0,563
444,2021-06-03,0,563
445,2021-06-04,3,566
446,2021-06-05,0,566
447,2021-06-06,0,566
448,2021-06-07,0,566
449,2021-06-08,1,567
450,2021-06-09,0,567
451,2021-06-10,0,567
452,2021-06-11,1,568
453,2021-06-12,0,568
454,2021-06-13,0,568
455,2021-06-14,0,568
456,2021-06-15,0,568
457,2021-06-16,0,568
458,2021-06-17,0,568
459,2021-06-18,0,568
460,2021-06-19,0,568
461,2021-06-20,0,568
462,2021-06-21,0,568
463,2021-06-22,0,568
464,2021-06-23,0,568
465,2021-06-24,0,568
466,2021-06-25,0,568
467,2021-06-26,0,568
468,2021-06-27,0,568
469,2021-06-28,0,568
470,2021-06-29,0,568
471,2021-06-30,0,568
472,2021-07-01,0,568
473,2021-07-02,1,569
474,2021-07-03,0,569
475,2021-07-04,0,569
476,2021-07-05,0,569
477,2021-07-06,0,569
478,2021-07-07,0,569
479,2021-07-08,0,569
480,2021-07-09,0,569
481,2021-07-10,1,570
482,2021-07-11,0,570
483,2021-07-12,0,570
484,2021-07-13,1,571
485,2021-07-14,0,571
486,2021-07-15,0,571
487,2021-07-16,2,573
488,2021-07-17,0,573
489,2021-07-18,0,573
490,2021-07-19,2,575
491,2021-07-20,0,575
492,2021-07-21,0,575
493,2021-07-22,1,576
494,2021-07-23,0,576
495,2021-07-24,0,576
496,2021-07-25,0,576
497,2021-07-26,1,577
498,2021-07-27,0,577
499,2021-07-28,0,577
500,2021-07-29,0,577
501,2021-07-30,3,580
502,2021-07-31,0,580
503,2021-08-01,0,580
504,2021-08-02,0,580
505,2021-08-03,2,582
506,2021-08-04,1,583
507,2021-08-05,1,584
508,2021-08-06,0,584
509,2021-08-07,1,585
510,2021-08-08,0,585
511,2021-08-09,1,586
512,2021-08-10,1,587
513,2021-08-11,0,587
514,2021-08-12,1,588
515,2021-08-13,2,590
516,2021-08-14,3,593
517,2021-08-15,2,595
518,2021-08-16,4,599
519,2021-08-17,0,599
520,2021-08-18,0,599
521,2021-08-19,2,601
522,2021-08-20,0,601
523,2021-08-21,1,602
524,2021-08-22,2,604
525,2021-08-23,1,605
526,2021-08-24,4,609
527,2021-08-25,1,610
528,2021-08-26,0,610
529,2021-08-27,1,611
530,2021-08-28,0,611
531,2021-08-29,3,614
532,2021-08-30,1,615
533,2021-08-31,0,615
534,2021-09-01,2,617
535,2021-09-02,0,617
536,2021-09-03,1,618
537,2021-09-04,3,621
538,2021-09-05,2,623
539,2021-09-06,1,624
540,2021-09-07,3,627
541,2021-09-08,2,629
542,2021-09-09,3,632
543,2021-09-10,2,634
544,2021-09-11,3,637
545,2021-09-12,2,639
546,2021-09-13,0,639
547,2021-09-14,1,640
548,2021-09-15,1,641
549,2021-09-16,0,641
550,2021-09-17,0,641
551,2021-09-18,1,642
552,2021-09-19,2,644
553,2021-09-20,1,645
554,2021-09-21,0,645
555,2021-09-22,0,645
556,2021-09-23,2,647
557,2021-09-24,1,648
558,2021-09-25,2,650
559,2021-09-26,0,650
560,2021-09-27,3,653
561,2021-09-28,0,653
562,2021-09-29,1,654
563,2021-09-30,0,654
564,2021-10-01,0,654
565,2021-10-02,1,655
566,2021-10-03,1,656
567,2021-10-04,1,657
568,2021-10-05,0,657
569,2021-10-06,0,657
570,2021-10-07,2,659
571,2021-10-08,0,659
572,2021-10-09,1,660
573,2021-10-10,2,662
574,2021-10-11,0,662
575,2021-10-12,1,663
576,2021-10-13,0,663
577,2021-10-14,0,663
578,2021-10-15,1,664
579,2021-10-16,1,665
580,2021-10-17,3,668
581,2021-10-18,1,669
582,2021-10-19,1,670
583,2021-10-20,1,671
584,2021-10-21,1,672
585,2021-10-22,0,672
586,2021-10-23,0,672
587,2021-10-24,0,672
588,2021-10-25,1,673
589,2021-10-26,0,673
590,2021-10-27,0,673
591,2021-10-28,0,673
592,2021-10-29,0,673
593,2021-10-30,0,673
594,2021-10-31,0,673
595,2021-11-01,0,673
596,2021-11-02,0,673
597,2021-11-03,0,673
598,2021-11-04,1,674
599,2021-11-05,0,674
600,2021-11-06,0,674
601,2021-11-07,1,675
602,2021-11-08,0,675
603,2021-11-09,0,675
604,2021-11-10,0,675
605,2021-11-11,0,675
606,2021-11-12,1,676
607,2021-11-13,0,676
608,2021-11-14,0,676
609,2021-11-15,2,678
610,2021-11-16,0,678
611,2021-11-17,0,678
612,2021-11-18,2,680
613,2021-11-19,0,680
614,2021-11-20,0,680
615,2021-11-21,1,681
616,2021-11-22,0,681
617,2021-11-23,0,681
618,2021-11-24,0,681
619,2021-11-25,0,681
620,2021-11-26,0,681
621,2021-11-27,0,681
622,2021-11-28,0,681
623,2021-11-29,0,681
624,2021-11-30,0,681
625,2021-12-01,1,682
626,2021-12-02,0,682
627,2021-12-03,2,684
628,2021-12-04,0,684
629,2021-12-05,0,684
630,2021-12-06,0,684
631,2021-12-07,2,686
632,2021-12-08,0,686
633,2021-12-09,0,686
634,2021-12-10,0,686
635,2021-12-11,0,686
636,2021-12-12,1,687
637,2021-12-13,1,688
638,2021-12-14,0,688
639,2021-12-15,0,688
640,2021-12-16,0,688
641,2021-12-17,0,688
642,2021-12-18,1,689
643,2021-12-19,1,690
644,2021-12-20,1,691
645,2021-12-21,0,691
646,2021-12-22,0,691
647,2021-12-23,0,691
648,2021-12-24,0,691
649,2021-12-25,0,691
650,2021-12-26,0,691
651,2021-12-27,1,692
652,2021-12-28,1,693
653,2021-12-29,0,693
654,2021-12-30,0,693
655,2021-12-31,0,693
656,2022-01-01,3,696
657,2022-01-02,0,696
658,2022-01-03,1,697
659,2022-01-04,1,698
660,2022-01-05,2,700
661,2022-01-06,2,702
662,2022-01-07,1,703
663,2022-01-08,2,705
664,2022-01-09,3,708
665,2022-01-10,1,709
666,2022-01-11,3,712
667,2022-01-12,1,713
668,2022-01-13,3,716
669,2022-01-14,2,718
670,2022-01-15,0,718
671,2022-01-16,4,722
672,2022-01-17,1,723
673,2022-01-18,2,725
674,2022-01-19,1,726
675,2022-01-20,2,728
676,2022-01-21,5,733
677,2022-01-22,2,735
678,2022-01-23,3,738
679,2022-01-24,5,743
680,2022-01-25,2,745
681,2022-01-26,3,748
682,2022-01-27,1,749
683,2022-01-28,2,751
684,2022-01-29,4,755
685,2022-01-30,6,761
686,2022-01-31,5,766
687,2022-02-01,3,769
688,2022-02-02,0,769
689,2022-02-03,5,774
690,2022-02-04,9,783
691,2022-02-05,4,787
692,2022-02-06,0,787
693,2022-02-07,3,790
694,2022-02-08,3,793
695,2022-02-09,4,797
696,2022-02-10,2,799
697,2022-02-11,6,805
698,2022-02-12,4,809
699,2022-02-13,4,813
700,2022-02-14,1,814
701,2022-02-15,2,816
702,2022-02-16,0,816
703,2022-02-17,3,819
704,2022-02-18,1,820
705,2022-02-19,0,820
706,2022-02-20,4,824
707,2022-02-21,1,825
708,2022-02-22,2,827
709,2022-02-23,3,830
710,2022-02-24,3,833
711,2022-02-25,2,835
712,2022-02-26,2,837
713,2022-02-27,0,837
714,2022-02-28,3,840
715,2022-03-01,1,841
716,2022-03-02,0,841
717,2022-03-03,3,844
718,2022-03-04,1,845
719,2022-03-05,0,845
720,2022-03-06,0,845
721,2022-03-07,0,845
722,2022-03-08,2,847
723,2022-03-09,1,848
724,2022-03-10,0,848
725,2022-03-11,1,849
726,2022-03-12,2,851
727,2022-03-13,0,851
728,2022-03-14,1,852
729,2022-03-15,1,853
730,2022-03-16,0,853
731,2022-03-17,1,854
732,2022-03-18,0,854
733,2022-03-19,0,854
734,2022-03-20,0,854
735,2022-03-21,1,855
736,2022-03-22,1,856
737,2022-03-23,0,856
738,2022-03-24,0,856
739,2022-03-25,0,856
740,2022-03-26,0,856
741,2022-03-27,0,856
742,2022-03-28,4,860
743,2022-03-29,0,860
744,2022-03-30,0,860
745,2022-03-31,0,860
746,2022-04-01,0,860
747,2022-04-02,0,860
748,2022-04-03,1,861
749,2022-04-04,0,861
750,2022-04-05,4,865
751,2022-04-06,2,867
752,2022-04-07,0,867
753,2022-04-08,0,867
754,2022-04-09,0,867
755,2022-04-10,0,867
756,2022-04-11,0,867
757,2022-04-12,0,867
758,2022-04-13,2,869
759,2022-04-14,0,869
760,2022-04-15,0,869
761,2022-04-16,0,869
762,2022-04-17,0,869
763,2022-04-18,0,869
764,2022-04-19,0,869
765,2022-04-20,0,869
766,2022-04-21,1,870
767,2022-04-22,0,870
768,2022-04-23,0,870
769,2022-04-24,0,870
770,2022-04-25,0,870
771,2022-04-26,0,870
772,2022-04-27,0,870
773,2022-04-28,0,870
774,2022-04-29,0,870
775,2022-04-30,1,871
776,2022-05-01,0,871
777,2022-05-02,2,873
778,2022-05-03,0,873
779,2022-05-04,1,874
780,2022-05-05,1,875
781,2022-05-06,2,877
782,2022-05-07,0,877
783,2022-05-08,2,879
784,2022-05-09,0,879
785,2022-05-10,1,880
786,2022-05-11,0,880
787,2022-05-12,1,881
788,2022-05-13,0,881
789,2022-05-14,0,881
790,2022-05-15,2,883
791,2022-05-16,0,883
792,2022-05-17,0,883
793,2022-05-18,0,883
794,2022-05-19,1,884
795,2022-05-20,1,885
796,2022-05-21,2,887
797,2022-05-22,2,889
798,2022-05-23,0,889
799,2022-05-24,3,892
800,2022-05-25,0,892
801,2022-05-26,2,894
802,2022-05-27,2,896
803,2022-05-28,0,896
804,2022-05-29,1,897
805,2022-05-30,3,900
806,2022-05-31,0,900
807,2022-06-01,0,900
808,2022-06-02,0,900
809,2022-06-03,0,900
810,2022-06-04,0,900
811,2022-06-05,0,900
812,2022-06-06,0,900
813,2022-06-07,2,902
814,2022-06-08,2,904
815,2022-06-09,0,904
816,2022-06-10,2,906
817,2022-06-11,2,908
818,2022-06-12,1,909
819,2022-06-13,2,911
820,2022-06-14,0,911
821,2022-06-15,3,914
822,2022-06-16,0,914
823,2022-06-17,1,915
824,2022-06-18,4,919
825,2022-06-19,1,920
826,2022-06-20,1,921
827,2022-06-21,1,922
828,2022-06-22,0,922
829,2022-06-23,1,923
830,2022-06-24,0,923
831,2022-06-25,1,924
832,2022-06-26,0,924
833,2022-06-27,1,925
834,2022-06-28,1,926
835,2022-06-29,2,928
836,2022-06-30,0,928
837,2022-07-01,1,929
838,2022-07-02,0,929
839,2022-07-03,0,929
840,2022-07-04,4,933
841,2022-07-05,1,934
842,2022-07-06,2,936
843,2022-07-07,0,936
844,2022-07-08,0,936
845,2022-07-09,1,937
846,2022-07-10,0,937
847,2022-07-11,0,937
848,2022-07-12,0,937
849,2022-07-13,0,937
850,2022-07-14,0,937
851,2022-07-15,0,937
852,2022-07-16,0,937
853,2022-07-17,0,937
854,2022-07-18,0,937
855,2022-07-19,0,937
856,2022-07-20,0,937
857,2022-07-21,0,937
858,2022-07-22,0,937
859,2022-07-23,0,937
860,2022-07-24,0,937
861,2022-07-25,0,937
862,2022-07-26,0,937
863,2022-07-27,0,937
864,2022-07-28,0,937
865,2022-07-29,0,937
866,2022-07-30,0,937
867,2022-07-31,0,937
